#,opened,closed,minutes held,side,lots,entry,exit,profit/loss,balance after
1,2025-10-02 04:00,2025-10-02 13:45,585,sell,0.06,46447.0,46576.0,-7.74,142.26
2,2025-10-02 14:00,2025-10-02 17:45,225,sell,0.06,46374.0,46496.0,-7.32,134.94
3,2025-10-03 11:00,2025-10-03 13:30,150,sell,0.08,46633.0,46724.0,-7.28,127.66
4,2025-10-07 14:00,2025-10-07 16:00,120,sell,0.12,46670.0,46469.0,24.12,151.78
5,2025-10-09 13:30,2025-10-09 13:45,15,sell,0.14,46634.0,46646.0,-1.68,150.10
6,2025-10-09 13:45,2025-10-10 15:30,1545,sell,0.03,46456.0,45769.0,20.61,170.71
7,2025-10-14 13:45,2025-10-14 17:45,240,buy,0.03,45710.0,46514.0,24.12,194.83
8,2025-10-20 08:30,2025-10-20 13:45,315,sell,0.06,46288.0,46461.0,-10.38,184.45
9,2025-10-21 03:45,2025-10-21 14:00,615,sell,0.12,46721.0,46811.0,-10.80,173.65
10,2025-10-22 13:30,2025-10-23 00:00,630,sell,0.16,46898.0,46414.0,77.44,251.09
11,2025-10-23 10:00,2025-10-24 13:30,1650,buy,0.08,46540.0,47091.0,44.08,295.17
12,2025-10-27 08:15,2025-10-28 10:00,1545,sell,0.1,47482.0,47648.0,-16.60,278.57
13,2025-10-28 10:15,2025-10-28 11:15,60,sell,0.16,47582.0,47680.0,-15.68,262.89
14,2025-10-28 13:30,2025-10-29 13:30,1440,sell,0.06,47712.0,47959.0,-14.82,248.07
15,2025-10-30 13:30,2025-11-03 15:00,5850,buy,0.04,47671.0,47340.0,-13.24,234.83
16,2025-11-04 14:30,2025-11-06 16:45,3015,buy,0.05,47053.0,46782.0,-13.55,221.28
17,2025-11-07 15:00,2025-11-07 16:15,75,buy,0.05,46854.0,46593.0,-13.05,208.23
18,2025-11-10 05:45,2025-11-10 14:30,525,sell,0.07,47092.0,47262.0,-11.90,196.33
19,2025-11-10 14:45,2025-11-10 19:45,300,sell,0.04,47125.0,47391.0,-10.64,185.69
20,2025-11-11 04:45,2025-11-11 14:30,585,sell,0.12,47373.0,47462.0,-10.68,175.01
21,2025-11-12 11:15,2025-11-12 14:30,195,sell,0.09,47976.0,48083.0,-9.63,165.38
22,2025-11-12 14:30,2025-11-13 15:45,1515,buy,0.02,48276.0,47916.0,-7.20,158.18
23,2025-11-18 08:30,2025-11-18 12:45,255,buy,0.03,46502.0,46216.0,-8.58,149.60
24,2025-11-18 17:30,2025-11-20 17:30,2880,buy,0.02,46213.0,45805.0,-8.16,141.44
25,2025-11-21 04:30,2025-11-25 19:45,6675,buy,0.03,45894.0,47048.0,34.62,176.06
26,2025-11-26 09:00,2025-11-26 14:30,330,sell,0.06,47176.0,47337.0,-9.66,166.40
27,2025-11-27 16:45,2025-11-28 15:15,1350,buy,0.15,47421.0,47611.0,28.50,194.90
28,2025-12-01 13:00,2025-12-01 15:15,135,buy,0.11,47485.0,47379.0,-11.66,183.24
29,2025-12-02 07:00,2025-12-03 16:15,1995,buy,0.12,47258.0,47727.0,56.28,239.52
30,2025-12-04 03:15,2025-12-05 15:00,2145,sell,0.09,47920.0,48068.0,-13.32,226.20
31,2025-12-05 15:00,2025-12-05 16:30,90,buy,0.06,48090.0,47874.0,-12.96,213.24
32,2025-12-08 13:30,2025-12-08 13:45,15,sell,0.2,47945.0,47949.0,-0.80,212.44
33,2025-12-08 14:30,2025-12-10 19:45,3195,sell,0.06,47833.0,48040.0,-12.42,200.02
34,2025-12-11 14:15,2025-12-11 14:30,15,buy,0.17,48143.0,48344.0,34.17,234.19
35,2025-12-11 14:30,2025-12-16 18:00,7410,buy,0.03,48408.0,47954.0,-13.62,220.57
36,2025-12-18 07:45,2025-12-22 17:45,6360,buy,0.11,47872.0,48451.0,63.69,284.26
37,2025-12-26 05:00,2025-12-30 14:30,6330,sell,0.19,48725.0,48315.0,77.90,362.16
38,2025-12-30 14:45,2025-12-31 14:30,1425,buy,0.13,48425.0,48264.0,-20.93,341.23
39,2026-01-02 14:45,2026-01-05 14:30,4305,buy,0.06,48072.0,48654.0,34.92,376.15
40,2026-01-07 06:30,2026-01-07 14:30,480,sell,0.22,49513.0,49614.0,-22.22,353.93
41,2026-01-07 14:30,2026-01-13 13:30,8580,sell,0.09,49449.0,49682.0,-20.97,332.96
42,2026-01-13 13:45,2026-01-14 16:45,1620,sell,0.1,49551.0,48859.0,69.20,402.16
43,2026-01-15 12:45,2026-01-15 14:30,105,sell,0.13,49164.0,49337.0,-22.49,379.67
44,2026-01-16 08:30,2026-01-18 23:15,3765,sell,0.18,49503.0,49000.0,90.54,470.21
45,2026-01-19 08:15,2026-01-20 06:15,1320,buy,0.16,49016.0,48847.0,-27.04,443.17
46,2026-01-20 15:00,2026-01-20 19:30,270,buy,0.12,48665.0,48453.0,-25.44,417.73
47,2026-01-21 14:00,2026-01-21 19:30,330,buy,0.08,48558.0,49151.0,47.44,465.17
48,2026-01-22 19:45,2026-01-30 17:00,11355,sell,0.09,49399.0,48515.0,79.56,544.73
49,2026-02-02 13:45,2026-02-02 14:30,45,buy,0.5,48896.0,48865.0,-15.50,529.23
50,2026-02-02 14:30,2026-02-06 00:00,4890,buy,0.06,49126.0,48665.0,-27.66,501.57
51,2026-02-06 14:15,2026-02-06 14:30,15,buy,0.43,49238.0,49512.0,117.82,619.39
52,2026-02-06 14:30,2026-02-23 15:00,24510,buy,0.06,49609.0,49008.0,-36.06,583.33
53,2026-02-24 02:15,2026-03-01 23:00,8445,buy,0.15,48878.0,48648.0,-34.50,548.83
54,2026-03-03 16:00,2026-03-06 13:30,4170,buy,0.06,47995.0,47503.0,-29.52,519.31
55,2026-03-09 13:30,2026-03-09 14:45,75,sell,0.29,46881.0,46986.0,-30.45,488.86
56,2026-03-10 11:30,2026-03-10 16:30,300,sell,0.07,47659.0,48053.0,-27.58,461.28
57,2026-03-12 06:30,2026-03-12 14:30,480,buy,0.1,46972.0,46720.0,-25.20,436.08
58,2026-03-18 14:00,2026-03-19 14:15,1455,sell,0.11,46602.0,45778.0,90.64,526.72
59,2026-03-23 11:00,2026-03-27 20:15,6315,buy,0.01,46846.0,45019.0,-18.27,508.45
60,2026-03-30 02:45,2026-04-01 06:00,3075,buy,0.08,45071.0,46496.0,114.00,622.45
61,2026-04-01 08:00,2026-04-01 12:30,270,sell,0.13,46491.0,46770.0,-36.27,586.18
62,2026-04-01 12:45,2026-04-07 22:00,9195,sell,0.08,46514.0,46906.0,-31.36,554.82
63,2026-04-08 13:30,2026-04-08 13:45,15,buy,0.36,47945.0,47855.0,-32.40,522.42
64,2026-04-08 13:45,2026-04-08 14:15,30,buy,0.42,47899.0,47825.0,-31.08,491.34
65,2026-04-08 14:15,2026-04-09 16:00,1545,sell,0.07,47780.0,48187.0,-28.49,462.85
66,2026-04-14 04:45,2026-04-14 09:00,255,sell,0.25,48206.0,48313.0,-26.75,436.10
67,2026-04-14 09:30,2026-04-14 13:30,240,sell,0.16,48240.0,48396.0,-24.96,411.14
68,2026-04-15 04:15,2026-04-15 13:15,540,sell,0.29,48551.0,48633.0,-23.78,387.36
69,2026-04-15 13:30,2026-04-17 08:30,2580,sell,0.08,48465.0,48743.0,-22.24,365.12
70,2026-04-21 07:00,2026-04-21 09:45,165,sell,0.18,49496.0,49614.0,-21.24,343.88
71,2026-04-22 15:30,2026-04-23 17:45,1575,sell,0.09,49447.0,48864.0,52.47,396.35
72,2026-04-24 13:30,2026-04-24 15:45,135,sell,0.16,49130.0,49272.0,-22.72,373.63
73,2026-04-27 13:30,2026-04-27 15:00,90,buy,0.15,49235.0,49094.0,-21.15,352.48
74,2026-04-30 13:45,2026-04-30 18:30,285,buy,0.32,49265.0,49692.0,136.64,489.12
75,2026-05-01 05:45,2026-05-01 12:00,375,sell,0.19,49759.0,49909.0,-28.50,460.62
76,2026-05-01 12:45,2026-05-04 16:00,4515,sell,0.14,49825.0,48928.0,125.58,586.20
77,2026-05-05 03:00,2026-05-06 08:45,1785,buy,0.22,49000.0,49629.0,138.38,724.58
78,2026-05-07 08:15,2026-05-14 13:15,10380,sell,0.23,49979.0,50160.0,-41.63,682.95
79,2026-05-14 13:30,2026-05-18 00:00,4950,sell,0.15,49968.0,49240.0,109.20,792.15
80,2026-05-18 10:00,2026-05-20 19:15,3435,buy,0.24,49198.0,50010.0,194.88,987.03
81,2026-05-21 03:15,2026-05-21 10:00,405,sell,0.29,49942.0,50139.0,-57.13,929.90
82,2026-05-21 10:15,2026-05-21 17:45,450,sell,0.21,50015.0,50272.0,-53.97,875.93
83,2026-05-22 07:00,2026-05-22 12:00,300,sell,0.33,50399.0,50557.0,-52.14,823.79
84,2026-05-22 14:00,2026-05-24 23:30,3450,sell,0.14,50540.0,50874.0,-46.76,777.03
85,2026-05-25 15:15,2026-05-26 15:30,1455,sell,0.31,51030.0,50435.0,184.45,961.48
86,2026-05-27 14:00,2026-05-27 15:30,90,buy,0.38,50770.0,50620.0,-57.00,904.48
87,2026-05-29 13:15,2026-05-29 13:45,30,sell,0.38,50740.0,50881.0,-53.58,850.90
88,2026-05-29 13:45,2026-06-01 11:00,4155,buy,0.75,50824.0,51268.0,333.00,1183.90
89,2026-06-01 12:00,2026-06-02 19:45,1905,sell,0.34,51169.0,51373.0,-69.36,1114.54
90,2026-06-03 05:30,2026-06-03 20:30,900,sell,0.48,51283.0,50692.0,283.68,1398.22
91,2026-06-04 04:45,2026-06-04 13:45,540,buy,0.72,50741.0,51384.0,462.96,1861.18
92,2026-06-04 23:45,2026-06-09 15:15,6690,sell,0.58,51545.0,50570.0,565.50,2426.68
93,2026-06-11 13:45,2026-06-11 14:00,15,buy,1.52,50291.0,50196.0,-144.40,2282.28
94,2026-06-11 16:45,2026-06-11 17:15,30,sell,0.49,50178.0,50452.0,-134.26,2148.02
95,2026-06-12 04:00,2026-06-12 08:00,240,sell,0.65,50850.0,51046.0,-127.40,2020.62
96,2026-06-12 13:30,2026-06-14 22:00,3390,sell,0.22,50884.0,51414.0,-116.60,1904.02
97,2026-06-15 09:00,2026-06-15 13:15,255,sell,0.73,51650.0,51806.0,-113.88,1790.14
98,2026-06-15 14:00,2026-06-16 13:30,1410,sell,0.45,51726.0,51965.0,-107.55,1682.59
99,2026-06-19 12:45,2026-06-21 22:00,3435,buy,0.5,51531.0,51332.0,-99.50,1583.09
100,2026-06-22 00:00,2026-06-22 13:30,810,buy,0.55,51446.0,51807.0,198.55,1781.64
101,2026-06-23 13:30,2026-06-23 13:45,15,sell,1.55,51509.0,51530.0,-32.55,1749.09
102,2026-06-24 13:45,2026-06-25 14:15,1470,buy,1.4,51751.0,52603.0,1192.80,2941.89
103,2026-06-26 08:45,2026-06-26 13:15,270,buy,0.77,51900.0,51672.0,-175.56,2766.33
104,2026-06-29 14:00,2026-06-29 14:15,15,sell,0.98,51941.0,52110.0,-165.62,2600.71
105,2026-06-30 11:45,2026-06-30 16:15,270,sell,1.18,52230.0,52362.0,-155.76,2444.95
106,2026-07-03 05:30,2026-07-07 01:15,5505,sell,0.7,52923.0,53132.0,-146.30,2298.65
107,2026-07-07 04:45,2026-07-07 08:30,225,sell,1.02,53055.0,53190.0,-137.70,2160.95
108,2026-07-07 13:30,2026-07-08 08:15,1125,sell,0.56,53158.0,52461.0,390.32,2551.27
109,2026-07-14 04:30,2026-07-14 11:00,390,buy,0.96,52423.0,52264.0,-152.64,2398.63
110,2026-07-15 10:15,2026-07-15 13:30,195,sell,0.61,52543.0,52779.0,-143.96,2254.67
111,2026-07-17 09:15,2026-07-17 13:15,240,buy,0.7,52210.0,52018.0,-134.40,2120.27
112,2026-07-17 13:30,2026-07-20 18:30,4620,buy,0.27,52321.0,51857.0,-125.28,1994.99
