priority	id	status	title
0	I_33XcywuIo	done	$100 Forex Account TRADING STRATEGY | EASY -Mamba
0	9bPlk7zSJAI	done	$1400 in 2 hours SCALPING CRYPTO | NEW STRATEGY
1	dCCVN-0cqH0	pending	$62,000 scalping forex LIVE | Withdrawal PROOF!!
1	VLftiE7RZ6k	pending	5 Forex Trading Secrets That WILL Make You PROFITABLE
0	prtpGhzb22g	done	6 Tips To Become a PRO SCALPER | Grow Small Trading Accounts!
1	Bh_blDiokHQ	done	Breakout Trading Made SIMPLE in 10 Minutes
0	hGPg7_ZE1DM	done	COMPLETELY FREE DAY TRADING COURSE (NEW STRATEGY)
0	I2I4EVPFoak	done	EASY FOREX SCALPING STRATEGY | INSANE METHOD!
1	KD4SjH5zspY	pending	First to get Funded WINS $50,000 CASH
1	II6156bd-B4	pending	How I Became a Full Time FOREX Trader by Age 19 | How You Can Too!!
1	E9xgn5sa9I8	pending	How I Bought $2.5 Million Dollars worth of cars at 21 years old
1	M6yX7YbbT6E	pending	How I Bought a Rolls Royce with 1 Forex Trade
1	AOiHOAQmSs4	pending	How I Got Rich From Selling Courses
1	oHV2PlHj-aM	pending	How I Made $1,000,000 Trading Forex LIVE
1	L5OpKJ7SE_I	pending	How I Made $500,000 In 10 FOREX TRADES!
0	4JKwM9CeLig	done	How I Made 3k In 1 Hour Trading Forex - My Exact Strategy | Mamba
1	-VdyJZlCG1M	done	How I Make 20% Gains Daily Trading Futures
0	qM4A_6i21I0	done	How I Trade $100 Forex Accounts
1	gvz2W53uSj8	pending	How I Turned $100 Into $12,000,000 Trading FOREX
1	VxjJlU7wZLY	pending	How I Turned $2,000 - $4,600 In 4 DAYS Trading FOREX
1	0PNFKr-YVrk	pending	How I made $11,000 in 1 GOLD Trade + NEW Office Tour!!
1	bR7Vufu6FGo	pending	How I made $200k this week LIVE trading forex | Big Secrets..
0	qAvSFpKE4aE	done	How I made $250,000 in 1 day trading FOREX | INSANE STRATEGY REVEAL
1	UmVik49k8w0	pending	How I make 300k per month from 7 income streams at age 21
1	ATX_rhxyqzE	pending	How I’d Flip a $500 Trading Account (FAST)
0	dOv1jOSsYLU	done	How To Actually Make 6 Figures A Month Trading Forex
0	JSLsfp4_BqA	pending	How To Become a Forex Trading MILLIONAIRE IN 2023
0	v-0dOEDqglA	pending	How To Get PERFECT Forex Entries Using FIBONACCI (INSANE) -Mamba
0	U8nlmxICJwQ	pending	How To INSTANTLY Become Profitable Day Trading (NEW METHOD)
